,City
0,busselton
1,palasa
2,san antonio
3,mumford
4,bosaso
5,deputatskiy
6,ushuaia
7,sobolevo
8,gari
9,kungurtug
10,mar del plata
11,am timan
12,dubti
13,chililabombwe
14,tsihombe
15,mecca
16,mount isa
17,cabo san lucas
18,itoman
19,maunabo
20,cape town
21,punta arenas
22,oktyabrskoye
23,naron
24,thompson
25,vaini
26,atuona
27,saldanha
28,longyearbyen
29,karasjok
30,labuhan
31,winslow
32,jieshi
33,korla
34,georgetown
35,hermanus
36,albany
37,honiara
38,nizhneyansk
39,khislavichi
40,saint-philippe
41,faanui
42,hilo
43,sentyabrskiy
44,kibaya
45,kaifeng
46,nguiu
47,artyk
48,umzimvubu
49,lerwick
50,rikitea
51,pacific grove
52,mahebourg
53,east london
54,mataura
55,coihaique
56,taolanaro
57,ancud
58,correia pinto
59,katra
60,new norfolk
61,galiwinku
62,kaitangata
63,simbahan
64,matina
65,port elizabeth
66,kavaratti
67,tura
68,cherskiy
69,lobez
70,lompoc
71,zolotinka
72,san quintin
73,grindavik
74,rocca priora
75,tommot
76,hobart
77,port alfred
78,kruisfontein
79,yanam
80,hambantota
81,alibag
82,scarborough
83,jamestown
84,ylivieska
85,san patricio
86,mrirt
87,gigmoto
88,barentsburg
89,westpunt
90,lufilufi
91,yulara
92,nikolskoye
93,victoria
94,cayenne
95,sisimiut
96,gazojak
97,kapaa
98,lebu
99,butaritari
100,luderitz
101,yellowknife
102,mys shmidta
103,ribeira grande
104,yakeshi
105,codrington
106,upernavik
107,klaksvik
108,talara
109,buea
110,westport
111,castro
112,namibe
113,port blair
114,barrow
115,kavieng
116,bandarbeyla
117,chokurdakh
118,provideniya
119,worthington
120,san cristobal
121,tuktoyaktuk
122,avarua
123,nantucket
124,kodiak
125,mahibadhoo
126,limerick
127,bluff
128,ketchikan
129,dikson
130,hualmay
131,caxito
132,gomel
133,kikwit
134,hithadhoo
135,pionerskiy
136,asau
137,karratha
138,illoqqortoormiut
139,pevek
140,anekal
141,santiago
142,pringsewu
143,lusambo
144,bengkulu
145,sinnamary
146,barawe
147,faya
148,te anau
149,berlevag
150,mattru
151,coahuayana
152,watertown
153,pathein
154,saint george
155,elko
156,miles city
157,pochutla
158,nokia
159,carnarvon
160,caravelas
161,chuy
162,marfino
163,arraial do cabo
164,graciano sanchez
165,torbay
166,mahalapye
167,kupang
168,zharkent
169,carlsbad
170,minggang
171,ati
172,maldonado
173,azimur
174,sabha
175,astolfo dutra
176,launceston
177,baghdad
178,bethel
179,longyan
180,chapeco
181,angoche
182,beringovskiy
183,pangnirtung
184,takoradi
185,doha
186,aykhal
187,dukat
188,duz
189,martano
190,georgiyevka
191,hamilton
192,qaqortoq
193,waipawa
194,ponta delgada
195,havoysund
196,broken hill
197,attawapiskat
198,bardiyah
199,talnakh
200,belushya guba
201,alofi
202,terenos
203,puerto ayora
204,ranong
205,gazanjyk
206,el faiyum
207,vila franca do campo
208,nome
209,saleaula
